INT	STRING	STRING	STRING	STRING	STRING	INT	INT
276	“这是最好的时代，也是最坏的时代。”是哪部世界名著的开场白？	等待戈多	变形记	傲慢与偏见	双城记	4	0
277	《倚天屠龙记》中，蛛儿的师傅叫什么？	红花婆婆	紫花婆婆	银花婆婆	金花婆婆	4	0
278	 罗曼罗兰所著的《名人传》中的三位名人分别是贝多芬，米开朗琪罗和谁？	莎士比亚	爱因斯坦	泰戈尔	托尔斯泰	4	0
279	《天龙八部》中，段誉的母亲叫什么名字？	甘宝宝	秦红棉	阮星竹	刀白凤	4	0
280	“碧玉年华”是古代社会对女子满多少岁的年龄称谓？	20岁	18岁	14岁	16岁	4	0
281	“年方二八”指的是刚满多少岁？	2岁	8岁	28岁	16岁	4	0
282	俗话说“人中有吕布”的下一句是什么？	马中有越影	马中有绝地	马中有的卢	马中有赤兔	4	0
283	被称为“伊斯兰教第一圣地”的是哪个城市？	大马士革	德黑兰	新德里	麦加	4	0
284	《三十六计》的第一计是	空城计	无中生有	走为上计	瞒天过海	4	0
285	词集《漱玉词》是哪位词人所著？	卓文君	顾太清	朱淑真	李清照	4	0
286	曹孟德“挟天子以令诸侯”中的“天子”指的是汉朝的哪位皇帝？?	汉恒帝	汉灵帝	汉成帝	汉献帝	4	0
287	我国某古代已婚妇人被称为“张王氏”，那么这个妇人在出嫁前姓什么？	张王	氏	张	王	4	0
288	著名哲学家苏格拉底与柏拉图的关系是	父子	邻居	兄弟	师生	4	0
289	诸子百家中，法家的代表人物是	墨子	庄子	杨朱	韩非	4	0
290	“二传手”是哪项球类运动中的球员位置名称？?	棒球	篮球	足球	排球	4	0
291	我国传统文化当中所说的“龙抬头”的时间是农历的哪一天？	五月五	四月四	三月三	二月二	4	0
292	南宋诗人陆游的诗句“零落成泥碾作尘，只有香如故”描写的是哪种花？	桃花	荷花	菊花	梅花	4	0
293	《天龙八部》中王夫人最爱种的是什么花？	重瓣樱	山杏花	白梅花	山茶花	4	0
294	著名雕塑《断臂的维纳斯》的作者是	罗兰	罗丹	米开朗琪罗	米洛斯	4	0
295	毕加索的名画《亚威农少女》现藏于	巴黎卢浮宫	芝加哥当代美术馆	伦敦泰特美术馆	纽约现代艺术博物馆	4	0
296	“黄袍加身”说的是哪个开国皇帝的故事？	李渊	拓跋珪	刘邦	赵匡胤	4	0
297	澳大利亚的首都是	布里斯班	墨尔本	悉尼	堪培拉	4	0
298	李商隐的《夜雨寄北》中“君问归来未有期”的下一句是什么？	巴山夜雨涨春池	巴山夜雨涨夏池	巴山夜雨涨冬池	巴山夜雨涨秋池	4	0
299	庄子的《逍遥游》中讲到， “北冥有鱼”其名为什么？	鸠	蜩	鹏	鲲	4	0
300	“你可知MACAU不是我真姓，我离开你太久了，母亲”说的我国哪个城市？	上海	香港	台湾	澳门	4	0
301	相传乾隆皇帝把“天下第一泉”美名给了位于山东的哪个泉？	星虹泉	五莲泉	谷帘泉	趵突泉	4	0
302	“念慈”是古代对对方亲属中哪一位的尊称？	祖母	祖父	父亲	母亲	4	0
303	被称为青莲居士的是	王安石	李商隐	杜甫	李白	4	0
304	有“微笑天使”之称的宠物犬是什么犬？	拉布拉多	金毛	哈士奇	萨摩耶	4	0
305	“老夫聊发少年狂”的下一句是什么？	亲射虎，看孙郎	锦帽貂裘，千骑卷平冈。	左青龙，右白虎	左牵黄,右擎苍	4	0
306	《__》是屈原作品中最精、最美、最富魅力的诗篇。它代表了屈原艺术创作的最高成就	离骚	九章	天问	九歌	4	0
307	《佛珠生菇品》中，小和尚回寺里请老和尚原谅自己时，老和尚是什么态度	感动	谅解	怀疑	愤怒	4	0
308	成语“指鹿为马“比喻故意颠倒黑白，混淆是非。请问这句成语出自哪位帝王在位时期	秦始皇	汉高祖	汉武帝	秦二世	4	0
309	金庸小说中，峨眉派的创始人是	郭芙	郭靖	郭破虏	郭襄	4	0
310	金庸的第一部武侠小说名称是？	笑傲江湖	连城诀	侠客行	书剑恩仇录	4	0
311	小明爸爸有三个儿子，大儿子叫大傻，二儿子叫二傻，请问，三儿子叫什么？	傻子	傻帽	三傻	小明	4	0
312	小龙女的夫君叫什么？	小明	路飞	香吉士	杨过	4	0
313	爱好旅游（打一成语）	喜出望外	杭州一日游	四海奔波	环游全球	1	1
314	盲人摸象（打一成语）	不识大体	鼻子好长	四条大腿	一柱擎天	1	1
315	蜜饯黄连（打一成语）	同甘共苦	苦尽甘来	先苦后甜	先甜后苦	1	1
316	会计（打一成语）	足智多谋	能掐会算	智力超群	独占鳌头	1	1
317	逆水划船（打一成语）	力争上游	不进则退	慌不择路	坚持不懈	1	1
318	快刀斩乱麻（打一成语）	迎刃而解	腰缠万贯	剪不断理还乱	一团乱麻	1	1
319	翘翘板（打一成语）	此起彼落	上上下下	你来我往	其乐融融	1	1
320	遇事不求人（打一成语）	自力更生	金鸡独立	自我升华	朋友不靠谱	1	1
321	脱粒机（打一成语）	吞吞吐吐	干干净净	哄擦哄擦	喧嚣吵闹	1	1
322	四通八达（打一成语）	头头是道	条条大路通罗马	十字路口	一路平坦	1	1
323	一块变九块（打一成语）	四分五裂	聚少成多	聚沙成塔	水滴石穿	1	1
324	节日的焰火（打一成语）	五彩缤纷	闪光耀眼	政策禁放	城管罚款	1	1
325	乖（打一成语）	乘人不备	乖巧听话	上当学乖	出乖弄丑	1	1
326	相声（打一成语）	装腔作势	台上两人	七嘴八舌	哄堂大笑	1	1
327	伞兵（打一成语）	从天而降	飘扬远方	火伞高张	雨后送伞	1	1
328	兔子请老虎（打一成语）	寅吃卯粮	自寻死路	不知好歹	后果堪忧	1	1
329	照相底片	颠倒黑白	黑黑白白	一抹前尘	洗出照片	1	1
330	平原门下客三千	胜友如云	狐朋狗友	你来我往	进进出出	1	1
331	桁héng（打一成语）	行将就木	三十六行	看风行船	行色冲冲	1	1
332	圆寂（打一成语）	坐以待毙	生生死死	至死不渝	回升气死	1	1
333	哑巴打手势（打一成语）	不言而喻	比手划脚	比比划划	指东画西	1	1
334	仙乐（打一成语）	不同凡响	黄粱美梦	绕梁三日	绵绵不绝	1	1
335	零存整取（打一成语）	积少成多	聚少成多	聚沙成塔	水滴石穿	1	1
336	初一（打一成语）	日新月异	新春贺岁	开门大吉	生意兴隆	1	1
337	暗中下围棋（打一成语）	皂白不分	黑白不分	是非不分	不知好歹	1	1
338	并重（打一成语）	恰如其分	心宽体胖	肥头胖耳	打肿脸充胖子	1	1
339	八十八（打一成语）	入木三分	心宽体胖	行将就木	恭喜发财	1	1
340	超好牙刷（打一成语）	一毛不拔	比比划划	进进出出	一左一右	1	1
341	打边鼓（打一成语）	旁敲侧击	钟鼓之色	大张旗鼓	击鼓鸣金	1	1
342	感冒通（打一成语）	有伤风化	999牌感冒灵	假药横行	不药而愈	1	1
343	鲁达当和尚（打一成语）	半路出家	酒肉和尚	力大无比	一脸横肉	1	1
344	皇（打一成语）	白玉无暇	皇帝陛下	九五之尊	飞龙在天	1	1
345	举重比赛（打一成语）	斤斤计较	一泻千里	力能扛鼎	力大无比	1	1
346	纸老虎（打一成语）	外强中干	假门假事	假仁假义	不假思索	1	1
347	美梦（打一成语）	好景不长	黄粱美梦	遥不可及	不切实际	1	1
348	农产品（打一成语）	土生土长	纯天然无污染	不含添加剂	非转基因食品	1	1
349	无底洞（打一成语）	深不可测	深不见底	遥不可及	漆黑一片	1	1
350	早不说晚不说（打一字）	中	许	早	晚	2	1
351	壹加壹（打一字）	二	王	下	三	2	1
352	上下一体（打一字）	上	卡	下	加	2	1
353	半导体（打一字）	通	付	行	快	2	1
354	熙熙攘攘（打一字）	多	侈	挤	点	2	1
355	内里有人（打一字）	门	肉	抠	冠	2	1
356	入史册（打一字）	史	更	使	吏	2	1
357	两点天上来（打一字）	点	关	天	下	2	1
358	祝福（打一字）	吉	诘	说	哈	2	1
359	池塘亮底（打一字）	干	汗	旱	枯	2	1
360	雨（打一字）	水	池	雨	河	2	1
361	血盆（打一字）	恐	唬	刃	忍	2	1
362	刃（打一字）	刀	召	锋	口	2	1
363	思（打一字）	念	十	想	望	2	1
364	武（打一字）	力	斐	强	壮	2	1
365	书签（打一字）	夹	颊	标	中	2	1
366	四个晚上（打一字）	黑	罗	夜	多	2	1
367	陕西人十分好（打一字）	假	附	切	哈	2	1
368	送走观音使不得（打一字）	去	还	走	送	2	1
369	入门无犬吠（打一字）	静	问	夜	清	2	1
370	半耕半读（打一字）	教	讲	说	师	2	1
371	画中人（打一字）	美	佃	仙	画	2	1
372	丰收（打一字）	颜	移	田	佃	2	1
373	弹丸之地（打一字）	小	尘	田	地	2	1
374	凤头虎尾（打一字）	势	几	假	真	2	1
375	矮（打一字）	寸	射	付	符	2	1
376	抽水泵（打一字）	水	石	输	电	2	1
377	顶破天（打一字）	顶	夫	鼎	一	2	1
378	后村闺中听风声（打一字）	叫	封	风	声	2	1
379	另有变动（打一字）	变	加	增	好	2	1
380	山水之间，一方独立（打重庆一地名）	朝天门	临江门	涪陵	石门	3	1
381	掌声经久不息（打北京一地名）	西单	丰田	延庆	石景山	3	1
382	沫若乡间住处（打北京一地名）	四合院	刘老根大舞台	郭公庄	青苹果乐园	3	1
383	重点干起，秋前方成（打天津一地名）	南开	西青	和平	河东	3	1
384	安得后羿弓（打一地名）	通州	日照	射阳	拉萨	3	1
385	雄踞山寨（打吉林一地名）	八达岭	狼牙山	公主岭	小孤山	3	1
386	潘仁美卖国（打一地名）	通州	宁夏	通辽	天津	3	1
387	固若金汤（打河北一地名）	永修	杭州	保定	川沙	3	1
388	中国界首（打河北一地名）	北京	天安门	玉田	上海	3	1
389	金乌西坠白头看（河南地名）	郑州	商丘	洛阳	北关	3	1
390	上下四方都无险（安徽地名）	宿松	黄山	六安	合肥	3	1
391	发扬大协作精神（青海地名）	大通	乐都	互助	门源	3	1
392	刘关张结义区（打台湾一地名）	台北	嘉义	桃园	基隆	3	1
393	又到鸡西市（黑龙江地名）	松北	道里	双城	呼兰	3	1
394	庙建成菩萨到（打上海一地名）	龙华寺	玉佛禅寺	静安寺	碧云净院	3	1
395	财源茂盛达三江（打广西一地名）	南宁	桂林	富川	百色	3	1
396	情投意合（打宁夏一地名）	沙湖	西夏	同心	六盘山	3	1
397	公开赞助（打湖北一地名）	武汉	荆州	襄阳	黄冈	3	1
398	公私仓廪皆丰实（打海南一地名）	海口	三亚	屯昌	五指山	3	1
399	花和尚鲁智深（打四川一地名）	宣汉	南充	色达	青霞镇	3	1
400	刘邦登基诏书（打四川一地名）	青霞镇	南充	宣汉	色达	3	1
401	南人不复反矣（打四川一地名）	宣汉	青霞镇	南充	色达	3	1
402	举起鞭儿又紧缰（打新疆一地名）	乌鲁木齐	克拉玛依	策勒	吐鲁番	3	1
403	介胄之士（打湖北一地名）	荆州	襄阳	武汉	黄冈	3	1
404	全面整顿（打云南一地名）	丽江	楚雄	大理	西山	3	1
405	美哉嘉陵（打云南一地名）	五华区	楚雄	丽江	大理	3	1
406	惩恶扬善（打云南一地名）	丽江	西山	楚雄	大理	3	1
407	山花红烂漫（打内蒙古一地名）	巴润别立	乌力吉苏	赤峰	温都尔勒图	3	1
408	恍然大悟（打一中草药名）	六神曲	人参	独活	脑立清	4	1
409	十人九死（打一中药名）	三七	人参	熊胆	独活	4	1
410	威风扫地（打一中草药名）	狼毒	木耳	一见喜	虎力散	4	1
411	低头思故乡（打一中草药名）	生姜	驱风散	熟地黄	怀熟地	4	1
412	红十字会（打一中草药名）	防己	木贼	生地	九一丹	4	1
413	大开绿灯（打一中草药名）	通大海	地黄	香附	路路通	4	1
414	三省吾身（打一中草药名）	厚朴	空青	款冬花	防己	4	1
415	敲山震虎（打一中草药名）	一见喜	白术	生地	驱风散	4	1
416	方法论（打一中草药名）	枇杷叶	莲房	滑石	白术	4	1
417	滔滔不绝（打一中草药名）	无花果	芦根	苍术	长流水	4	1
418	久别重逢（打一中草药名）	怀熟地	熟地黄	春不见	一见喜	4	1
419	两个少女（打一中草药名）	三七	半夏	金银花	二妙散	4	1
420	一江春水向东流（打一中草药名）	长流水	路路通	六一散	通大海	4	1
421	起宏图（打一中草药名）	空青	长流水	款冬花	远志	4	1
422	金钿遍野（打一中草药名）	金银花	地黄	脑立清	地黄	4	1
423	踏花归来蝶绕膝（打一中草药名）	石膏	沉香	麦冬	香附	4	1
424	第四季度经费（中草药名）	相思子	朱砂根	钟乳石	款冬花	4	1
425	妇女节前一天（打一中草药）	夏天无	春不见	金银花	三七	4	1
426	人间四月芳菲尽（打一中草药）	金银花	珍珠散	半夏	春不见	4	1
427	偷梁换柱（打一中草药名）	紫苏子	青皮	麝香	木贼	4	1
428	两横一竖（打一中草药名）	半子	墨旱莲	蓖麻子	半夏	4	1
429	不知道（打一中草药名）	无心	莲子心	独一味	生地	4	1
430	窗前江水泛春色（打一中草药名）	独一味	野马追	南海参	空青	4	1
431	忠诚老实（中草药名）	感冒灵	青叶胆	苦玄参	厚朴	4	1
432	儿童节发假（打一中草药名）	阿魏	余甘子	西青果	六一散	4	1
433	古城姐妹（打一中草药名）	四叶青	刺猬皮	穿山甲	金银花	4	1
434	鲛人挥泪（打一中草药名）	白矾	猪胆粉	木香	珍珠散	4	1
435	老谋深算（打一中草药名）	天山雪莲	川乌	海龙	苍术	4	1
436	六王毕，四海一（打《红楼梦》人名）	秦邦业	贾宝玉	芳官	智通	1	1
437	三八多面手（打《红楼梦》人名）	巧姐	焦大	坠儿	丰儿	1	1
438	女十八兮叹分离（打《红楼梦》人名）	杏奴	林黛玉	贾元春	贾探春	1	1
439	元前明后（打《水浒传》人名）	宋清	公孙胜	林冲	柴进	1	1
440	渐渐安定（打《水浒传》人名）	徐宁	武松	宋江	李逵	1	1
441	赫赫小英雄（打《水浒传》人名）	童威	张横	张顺	杨雄	1	1
442	不许你发达（打《水浒传》人名）	杜兴	卢俊义	公孙胜	林冲	1	1
443	禁止调房（打《水浒传》人名）	杜迁	武松	呼延灼	柴进	1	1
444	济人急难（打《水浒传》人名）	施恩	张清	戴宗	穆弘	1	1
445	渐渐安定（打《水浒传》人名）	徐宁	李俊	解珍	燕青	1	1
446	众芳竞艳（打《水浒传》人名）	花荣	黄信	宋江	韩滔	1	1
447	社会在发展（打《水浒传》人名）	史进	萧让	欧鹏	吕方	1	1
448	僧穿彩衣（打《水浒传》人物绰号）	花和尚	混江龙	浪子	神医	1	1
449	久旱逢甘露（打水浒传人物绰号）	及时雨	毛头星	神行太保	两头蛇	1	1
450	奥运射击冠军（打《水浒传》人物绰号）	金枪手	入云龙	小旋风	圣手书生	1	1
451	再三谦让（打《三国演义》人名）	陆逊	刘备	关羽	张飞	1	1
452	古代文化（打《三国演义》人名）	史迹	诸葛亮	马超	马谡	1	1
453	事事齐全说汉高（打《三国演义》人名）	刘备	曹操	周瑜	孙权	1	1
454	逐渐繁荣（打《三国演义》人名）	徐盛	诸葛亮	孙策	周瑜	1	1
455	八骏日行三万里（打《三国演义》人名）	马良	马超	赵云	关羽	1	1
456	轻骑飞跃（打《三国演义》人名）	马超	关羽	赵云	陆逊	1	1
457	天不绝曹（打《三国演义》人名）	魏续	张辽	关羽	周瑜	1	1
458	汉朝文书（打《三国演义》人名）	刘表	刘禅	曹丕	曹操	1	1
459	醒后得知一场梦（打《西游记》人名）	悟空	八戒	沙僧	唐僧	1	1
460	相声逗乐（打《西游记》人物）	眼看喜	如来佛	观音	红孩儿	1	1
461	各一方话鼠（打一画家名）	吴道子	齐白石	梵高	达芬奇	1	1
462	齐楚燕赵皆降服（打《史记》一句）	不可胜数	四国顺之	总之不离古文者近是	故无贵无贱	2	1
463	口道恒河沙复沙（打《史记》一句）	四国顺之	不可胜数	总之不离古文者近是	故无贵无贱	2	1
464	故（打《史记》一句）	不可胜数	总之不离古文者近是	四国顺之	故无贵无贱	2	1
465	坚持到底（打《史记》一句）	不可胜数	虽死不易	四国顺之	总之不离古文者近是	2	1
466	死而轻于鸿毛（打《史记》一句）	不可胜数	故无贵无贱	四国顺之	总之不离古文者近是	2	1
467	好读书（打《论语》一句）	小大由之	学而不厌	戒之在色	不在其位	2	1
468	尖（打《论语》一句）	学而不厌	小大由之	戒之在色	不在其位	2	1
469	莫中美人计（打《论语》一句）	学而不厌	戒之在色	小大由之	不在其位	2	1
470	退席（打《论语》一句）	学而不厌	不在其位	小大由之	戒之在色	2	1
471	门外汉（打《论语》一句）	学而不厌	未入于室也	小大由之	戒之在色	2	1
472	为储户保密（打《四书》一句）	学而不厌	慎言其余	四国顺之	总之不离古文者近是	2	1
473	洪湖歌声融暮色（打《滕王阁序》一句）	学而不厌	窜梁鸿于海曲	戒之在色	不在其位	2	1
474	回归洛阳（打《前出师表》一句）	试用于昔日	还于旧都	以咨诹善道	窜梁鸿于海曲	2	1
475	科举制度（打《前出师表》一句）	还于旧都	试用于昔日	以咨诹善道	窜梁鸿于海曲	2	1
476	人家在何处（打《前出师表》一句）	还于旧都	以咨诹善道	试用于昔日	窜梁鸿于海曲	2	1
477	子游（打《聊斋志异》一篇名）	猴戏	鼠戏	灯笼	鬼屋	2	1
478	使女择焉（打《孟子》一句）	选宾为主	决汝汉	不以规矩	不成方圆	2	1
479	易之而教之（打《孟子》一句）	决汝汉	选宾为主	不以规矩	不成方圆	2	1
480	测鼠（打一词牌名）	念奴娇	卜算子	沁园春	江城子	2	1
481	休得多言（打一文学名词）	第一人称	歇后语	主人公	老人家	2	1
482	何谓状元（打一文学名词）	歇后语	第一人称	主人公	老人家	2	1
483	平等待客（打一文学名词）	第一人称	主人公	歇后语	老人家	2	1
484	天女散花（打一新兴词语）	雷人	高消费	超前消费	滞后	2	1
485	无可奈何花落去（打一常用词）	谢谢	感谢	无奈	唉	2	1
486	一把刀，顺水漂，有眼睛，没眉毛。（打一动物名）	金枪鱼	金鱼	鱼	青蛙	3	1
487	两眼外秃大嘴巴，有个尾巴比身大，青草假山来相伴，绽放朵朵大红花（打一动物名）	蝙蝠	蜗牛	金鱼	蚂蚁	3	1
488	像鱼不是鱼，终生住海里。远看是喷泉，近看像岛屿（打一动物名）	喷泉	羊	鲸	鲨	3	1
489	小时像豆号，在水中玩耍。长大跳得高，是捉虫冠军（打一动物名）	牛蛙	癞蛤蟆	青蛙	蛇	3	1
490	为你打我，为我打你。打到你皮开，打得我出血（打一动物名）	苍蝇	螳螂	蚊子	蛇	3	1
491	似鸟又非鸟，有翅身无毛，一脸丑模样，专爱夜遨游(打一动物名)	麻雀	乌鸦	蝙蝠	啄木鸟	3	1
492	肥腿子，尖鼻子。穿裙子，背屋子（打一动物名）	天鹅	白鹤	蜗牛	海豚	3	1
493	身穿绿衣裳，肩扛两把刀。庄稼地里走，害虫吓得跑（打一动物名）	青蛙	羊	螳螂	奶牛	3	1
494	娘子娘子，身似盒子。麒麟剪刀，八个钗子（打一动物名）	螳螂	蚂蚁	螃蟹	丹顶鹤	3	1
495	黑脸包丞相，坐在大堂上（打一动物）	蚂蚁	马蜂	蜘蛛	海豚	3	1
496	身小力不小，团结又勤劳。有时搬粮食，有时挖地道（打一动物名）	泥鳅	海豚	蚂蚁	蛇	3	1
497	白天一起玩，夜间一块眠，到老不分散，人间好姻缘（打一动物）	蚊子	天鹅	鸳鸯	羊	3	1
498	个儿高又大，脖子似吊塔。和气又善良，从来不打架（打一动物名）	丹顶鹤	长臂猿	长颈鹿	孙悟空	3	1
499	脚儿小，腿儿高，戴红帽，穿白袍（打一动物名）	奶牛	信鸽	丹顶鹤	羊	3	1
500	有位小姑娘，身穿黄衣裳。谁要欺负她，她就戳一枪（打一动物名）	水蛇	癞蛤蟆	马蜂	豹子	3	1
501	脚像细牛脚，身像大狗重。行象后生子，须象老大人（打一动物名）	奶牛	白鸽	羊	麻雀	3	1
502	脚着暖底靴，口边山胡须。夜里当巡捕，日夜把眼眯（打一动物名）	老虎	狗	猫	猪	3	1
503	无脚也无手，身穿鸡皮皱。谁若碰着它，吓得连忙走（打一动物名）	蜈蚣	大象	蛇	纺织娘	3	1
504	身长约一丈，鼻生头顶上。背黑肚皮白，安家在海岸（打一动物名）	猫	鸡	海豚	鸭	3	1
505	身上滑腻腻，喜欢钻河底。张嘴吐泡泡，可以测天气（打一动物名）	海豚	蛇	泥鳅	蜈蚣	3	1
506	姑娘真辛苦，晚上还织布。天色蒙蒙亮，机声才停止（打一动物名）	报喜鸟	麻雀	纺织娘	乌鸦	3	1
507	身子轻如燕，飞在天地间，不怕相隔远，也能把话传（打一动物名）	燕子	猫头鹰	信鸽	麻雀	3	1
508	吃进的是草，挤出的是宝。舍己为人类，功劳可不小（打一动物名）	猪	鸡	奶牛	鸭	3	1
509	长胳膊，猴儿脸。大森林里玩得欢。摘野果，捣鹊蛋，抓住树枝荡秋千（打一动物名）	猴子	孙悟空	长臂猿	野人	3	1
510	左手五个，左手五个。拿去十个，还剩十个（打一日常用品）	五指袜	围巾	外套	手套	4	1
511	四角方方，常随常往。伤风咳嗽，数它最忙（打一日常用品）	桌子	火柴	感冒灵	手帕	4	1
512	半个西瓜样，口朝上面搁。上头不怕水，下头不怕火（打一日常用品）	灶台	烟囱	球	锅	4	1
513	中间是火山，四边是大海。海里宝贝多，快快捞上来（打一日常用品）	大海	水池	火柴	火锅	4	1
514	红娘子，上高楼，心里疼，眼泪流（打一日常用品名）	红盖头	火车	针线包	蜡烛	4	1
515	猛将百余人，无事不出城。出城就放火，引火自烧身（打一日常用品）	蚊子	飞蛾	磨刀石	火柴	4	1
516	一只八宝袋，样样都能装。能装棉和纱，能装铁和钢（打一日常用品）	钱包	背包	双肩包	针线包	4	1
517	远看两个零，近看两个零。有人用了行不得，有人不用不得行（打一日常用品）	油条	驾照	身份证	眼镜	4	1
518	有面无口，有脚无手。听人讲话，陪人吃酒（打一日常用品）	锅	背包	手电筒	桌子	4	1
519	带着平顶帽，身穿圆筒袄，虽然一只眼，暗中逞英豪（打一日常用品）	耳环	扇子	油灯	手电筒	4	1
520	前面来只船，舵手在上边，来时下小雨，走后路已干（打一日常用品）	温度计	暖壶	油灯	熨斗	4	1
521	小小东西，放在腋底。有病没病，看它肚皮（打一日常用品）	钟摆	鞋子	鞋垫	温度计	4	1
522	一只雀，飞上桌，捏尾巴，跳下河（打日常用品）	筷子	舌头	饭碗	汤匙	4	1
523	鼻子朝天，嘴巴朝地。敲它一锤，惊天动地（打一日常用品）	月饼	月亮	饭碗	大钟	4	1
524	金钩吊银圈，姐妹隔座山。若要来相会，需到天色晚（打一日常用品）	耳朵	眼睛	皮鞋	耳环	4	1
525	生在山崖，落在人家，凉水浇背，千刀万剐（打一日用品）	帽子	医药箱	手套	磨刀石	4	1
526	薄薄一张口，能啃硬骨头。吃肉不喝汤，吃瓜不嚼豆（打一日常用品）	菜板	嘴巴	舌头	菜刀	4	1
527	外面冷冰冰，里面热心肠，一夜到天亮，肚里还不凉（打一日常用品）	小太阳	热水器	暖手宝	暖壶	4	1
528	有硬有软，有长有宽。白天空闲，夜晚上班（打一日常用品）	席梦思	沙发	靠背	床	4	1
529	有风吹不动，它动就生风，若要不动它，待到起秋风（打一日常用品）	雷达	百叶窗	风衣	扇子	4	1
530	一间小药房，药品里面藏。房子涂白色，十字画中央（打一日常用品）	大药房	医院	感冒药	医药箱	4	1
531	一物生得巧，地位比人高。戴上御风寒，脱下有礼貌（打一日常用品）	头发	大衣	村长	帽子	4	1
532	一颗小红枣，一屋盛不了。只要一开门，枣儿往外跑（打一日常用品）	红枣	夜明珠	浴缸	油灯	4	1
533	屋里一座亭，亭中有个人，天天荡秋千，不荡就有病（打一日常用品）	秋千	古树	落叶	钟摆	4	1
534	不是点心不是糖，软软凉凉肚里藏，不能吃来不能喝，每天也要尝一尝（打一日常用品）	牙刷	水	毛巾	牙膏	4	1
535	红艳艳，飘胸前。像火苗，暖心间（打一日常用品）	少先队员	共产党员	领带	红领巾	4	1
536	头上亮光光，出门就成双。背上缚绳子，驮人走四方（打一日常用品）	鞋带	鞋垫	补鞋匠	皮鞋	4	1
537	口比肚子大，给啥就吃啥。它吃为了你，你吃端着它（打一日常用品）	筷子	嘴巴	火锅	饭碗	4	1
538	楼台接楼台，一层一层接起来，上面冒白气，下面水开花（打一日常用品）	阳台	火锅	电饭煲	蒸笼	4	1
539	平日不思，中秋想你。有方有圆，又甜又蜜（打一日常用品）	月亮	太阳	菜板	月饼	4	1
540	一只黑鞋子，黑帮黑底子。挂破鞋子口，漏出白衬子（打一日常用品）	冬瓜	南瓜	西瓜	西瓜子	4	1
